"dist_mid","att","se_att","n_cells","ci_lo","ci_hi"
2.5,0.0170855347340455,0.0107104525447894,140,-0.00390695225374178,0.0380780217218327
7.5,0.00488265379503568,0.00852179431460474,262,-0.0118200630615896,0.021585370651661
12.5,0.0038835332840263,0.0046581755941181,255,-0.00524649088044518,0.0130135574484978
17.5,-0.000709754323568251,0.00542227029396651,221,-0.0113374040997426,0.00991789545260611
22.5,-0.00318970512622183,0.005622880920264,177,-0.0142105517299393,0.00783114147749562
27.5,-0.0163388883817638,0.0106758555430045,144,-0.0372635652460527,0.00458578848252513
32.5,0.00457878665329938,0.0109162958743691,149,-0.0168171532604641,0.0259747265670629
37.5,0.000129228752064585,0.00929890196067107,139,-0.0180966190908507,0.0183550765949799
42.5,0.0138481763917348,0.0080051093784642,141,-0.00184183799005503,0.0295381907735246
47.5,-0.00584851641239185,0.0142626329685468,121,-0.0338032770307435,0.0221062442059598
52.5,0.000606839124097508,0.0114864724300464,133,-0.0219066468387934,0.0231203250869885
57.5,0.015651533099282,0.0127116353506094,133,-0.0092632721879124,0.0405663383864764
62.5,-0.0184614597390838,0.0135493746127983,105,-0.0450182339801685,0.00809531450200094
67.5,-0.003519929511838,0.0144587408343944,83,-0.0318590615472509,0.0248192025235749
72.5,0.00842750978949278,0.0155175899696677,88,-0.0219869665510559,0.0388419861300415
77.5,-0.00133849186479705,0.0110782741634506,95,-0.0230519092251602,0.0203749254955661
