"ring","year","total_pings","total_fishing","n_cells","weighted_frac"
"0–2 km",2019,4970829,834293,228,0.16783779928861
"0–2 km",2020,5948251,1048837,223,0.176326957285427
"0–2 km",2021,6524499,1076325,225,0.164966689396381
"0–2 km",2022,3228942,510608,218,0.158134769841019
"0–2 km",2023,239224,29281,206,0.122399926428786
"0–2 km",2024,88421,9945,184,0.112473281234096
"0–2 km",2025,258894,16243,199,0.0627399630736904
"0–2 km",2026,52726,4232,173,0.0802640063725676
"2–5 km",2019,1750920,467377,259,0.266932241335983
"2–5 km",2020,2097899,569565,242,0.271493050904739
"2–5 km",2021,2136153,549600,243,0.257284941668504
"2–5 km",2022,1012460,244936,235,0.241921656164194
"2–5 km",2023,79735,7955,206,0.0997679814385151
"2–5 km",2024,24482,2657,172,0.108528714974267
"2–5 km",2025,67880,7360,196,0.108426635238656
"2–5 km",2026,17798,2790,149,0.156759186425441
"5–10 km",2019,759752,300188,271,0.395113142183239
"5–10 km",2020,819418,384345,264,0.469046323122021
"5–10 km",2021,733473,351985,257,0.47988814857534
"5–10 km",2022,405107,155912,251,0.384866220529391
"5–10 km",2023,52512,7354,232,0.140044180377818
"5–10 km",2024,25435,4222,204,0.165991743660311
"5–10 km",2025,42433,5161,231,0.121627035561945
"5–10 km",2026,9962,1834,175,0.184099578397912
"10–20 km",2019,561778,392915,437,0.699413291371325
"10–20 km",2020,768334,511891,442,0.666234996759222
"10–20 km",2021,661336,467504,424,0.706908439885323
"10–20 km",2022,345784,220133,420,0.636619970848854
"10–20 km",2023,54857,11621,413,0.211841697504421
"10–20 km",2024,37666,8513,406,0.226012849784952
"10–20 km",2025,41190,7380,406,0.179169701383831
"10–20 km",2026,17122,3899,338,0.227718724448079
"20–50 km",2019,5065840,786218,973,0.155199927356569
"20–50 km",2020,6628560,948400,936,0.143077832892815
"20–50 km",2021,6841703,883782,940,0.129175733000979
"20–50 km",2022,3684174,483507,941,0.131238915425819
"20–50 km",2023,353617,48885,935,0.138242788101251
"20–50 km",2024,113318,30161,928,0.266162480806227
"20–50 km",2025,355107,36375,923,0.10243391428499
"20–50 km",2026,116216,24127,897,0.207604804846149
">50 km",2019,204930,116270,807,0.567364465915191
">50 km",2020,100439,46008,811,0.458069076753054
">50 km",2021,134999,76150,650,0.564078252431499
">50 km",2022,106525,60538,903,0.568298521473832
">50 km",2023,112200,64910,804,0.578520499108734
">50 km",2024,87661,48444,793,0.552628877151755
">50 km",2025,111638,66745,650,0.597869900929791
">50 km",2026,63854,38169,597,0.597754251887118
